AB,,,AC,,,BC,,,ABC,,,CML AB,
0.284241971,0.197860331,,0.205365151,0.153941035,,0.205365151,0.153941035,,0.259979524,0.193468401,,0,0.041
0.28485069,0.197258757,,0.203974047,0.153778654,,0.203797402,0.154380228,,0.269702014,0.187452666,,0.284241971,0.197860331
0.285534501,0.196657184,,0.202745899,0.153616274,,0.202268825,0.154819421,,0.286793993,0.181436931,,,
0.286292865,0.19605561,,0.201683687,0.153453893,,0.200780314,0.155258614,,0.31003904,0.175421196,,CLM ABC,
0.287125192,0.195454037,,0.200790042,0.153291513,,0.199332767,0.155697807,,0.338170685,0.16940546,,0,0.041
0.28803084,0.194852463,,0.200067224,0.153129132,,0.197927083,0.156137,,0.370076225,0.163389725,,0.190980603,0.165493018
0.289009121,0.19425089,,0.19951709,0.152966752,,0.19656416,0.156576193,,0.40486443,0.15737399,,,
0.2900593,0.193649316,,0.19914107,0.152804371,,0.195244894,0.157015386,,0.441854948,0.151358255,,,
0.291180598,0.193047743,,0.198940152,0.152641991,,0.193970175,0.157454579,,0.480539465,0.145342519,,,
0.292372197,0.192446169,,0.198914867,0.15247961,,0.192740886,0.157893772,,0.426810968,0.146966325,,,
0.293633241,0.191844596,,0.199065281,0.152317229,,0.191557904,0.158332965,,0.388746926,0.15298206,,,
0.29496284,0.191243022,,0.199390997,0.152154849,,0.190422091,0.158772158,,0.352764138,0.158997795,,,
0.296360072,0.190641449,,0.199891158,0.151992468,,0.189334295,0.159211351,,0.319566417,0.165013531,,,
0.297823983,0.190039875,,0.200564459,0.151830088,,0.188295349,0.159650544,,0.29011144,0.171029266,,,
0.299353596,0.189438302,,0.201409163,0.151667707,,0.187306065,0.160089736,,0.265647123,0.177045001,,,
0.30094791,0.188836728,,0.202423125,0.151505327,,0.186367236,0.160528929,,0.24765689,0.183060736,,,
0.3026059,0.188235155,,0.203603816,0.151342946,,0.185479626,0.160968122,,0.228045512,0.178668807,,,
0.304326528,0.187633581,,0.204948354,0.151180565,,0.184643975,0.161407315,,0.246904954,0.172653072,,,
0.306108735,0.187032007,,0.206453539,0.151018185,,0.18386099,0.161846508,,0.272545686,0.166637336,,,
0.307951454,0.186430434,,0.208115884,0.150855804,,0.183131348,0.162285701,,0.303252436,0.160621601,,,
0.309853605,0.18582886,,0.209931656,0.150693424,,0.182455688,0.162724894,,0.337645855,0.154605866,,,
0.3118141,0.185227287,,0.211896912,0.150531043,,0.181834612,0.163164087,,0.374712157,0.148590131,,,
0.313831845,0.184625713,,0.214007533,0.150368663,,0.181268682,0.16360328,,0.325027648,0.150213936,,,
0.315905744,0.18402414,,0.216259262,0.150206282,,0.180758415,0.164042473,,0.289616035,0.156229672,,,
0.318034699,0.183422566,,0.218647741,0.150043901,,0.180304283,0.164481666,,0.257824974,0.162245407,,,
0.32021761,0.182820993,,0.221168539,0.149881521,,0.179906712,0.164920859,,0.231153154,0.168261142,,,
0.322453382,0.182219419,,0.223817185,0.14971914,,0.179566078,0.165360052,,0.211545831,0.174276877,,,
0.324740924,0.181617846,,0.226589195,0.14955676,,0.179282705,0.165799245,,0.198933616,0.169884948,,,
0.327079149,0.181016272,,0.229480101,0.149394379,,0.179056865,0.166238438,,0.219037821,0.163869212,,,
0.329466978,0.180414699,,0.232485465,0.149231999,,0.178888776,0.166677631,,0.246459622,0.157853477,,,
0.33190334,0.179813125,,0.235600908,0.149069618,,0.1787786,0.167116824,,0.279050026,0.151837742,,,
0.334387175,0.179211552,,0.238822123,0.148907237,,0.178726445,0.167556017,,0.238928934,0.153461548,,,
0.336917433,0.178609978,,0.242144887,0.148744857,,0.178732362,0.16799521,,0.211185738,0.159477283,,,
0.339493075,0.178008405,,0.245565079,0.148582476,,0.178796345,0.168434403,,0.190980603,0.165493018,,,
0.342113077,0.177406831,,0.249078685,0.148420096,,0.178918331,0.168873596,,0.188278146,0.161101089,,,
0.344776428,0.176805258,,0.252681809,0.148257715,,0.179098202,0.169312789,,0.208080098,0.155085353,,,
0.34748213,0.176203684,,0.256370676,0.148095335,,0.179335784,0.169751982,,0.191049188,0.156709159,,,
0.350229202,0.17560211,,0.260141639,0.147932954,,0.179630848,0.170191175,,,,,,
0.353016678,0.175000537,,0.26399118,0.147770573,,0.179983111,0.170630367,,,,,,
0.35584361,0.174398963,,0.26791591,0.147608193,,0.180392239,0.17106956,,,,,,
0.358709063,0.17379739,,0.271912576,0.147445812,,0.180857844,0.171508753,,,,,,
0.361612122,0.173195816,,0.275978051,0.147283432,,0.181379493,0.171947946,,,,,,
0.364551889,0.172594243,,0.280109339,0.147121051,,0.181956703,0.172387139,,,,,,
0.367527483,0.171992669,,0.284303572,0.146958671,,0.182588947,0.172826332,,,,,,
0.370538041,0.171391096,,0.288558004,0.14679629,,0.183275656,0.173265525,,,,,,
0.373582717,0.170789522,,0.292870013,0.14663391,,0.184016219,0.173704718,,,,,,
0.376660685,0.170187949,,0.297237092,0.146471529,,0.184809991,0.174143911,,,,,,
0.379771134,0.169586375,,0.301656849,0.146309148,,0.185656288,0.174583104,,,,,,
0.382913274,0.168984802,,0.306127004,0.146146768,,0.186554394,0.175022297,,,,,,
0.386086329,0.168383228,,0.31064538,0.145984387,,0.187503567,0.17546149,,,,,,
0.389289546,0.167781655,,0.315209904,0.145822007,,0.188503034,0.175900683,,,,,,
0.392522184,0.167180081,,0.319818599,0.145659626,,0.189552,0.176339876,,,,,,
0.395783523,0.166578508,,0.324469584,0.145497246,,0.190649648,0.176779069,,,,,,
0.39907286,0.165976934,,0.329161066,0.145334865,,0.191795141,0.177218262,,,,,,
0.402389508,0.165375361,,0.333891338,0.145172484,,0.192987629,0.177657455,,,,,,
0.405732797,0.164773787,,0.338658774,0.145010104,,0.194226245,0.178096648,,,,,,
0.409102074,0.164172213,,0.343461828,0.144847723,,0.195510113,0.178535841,,,,,,
0.412496702,0.16357064,,0.348299025,0.144685343,,0.196838347,0.178975034,,,,,,
0.41591606,0.162969066,,0.353168962,0.144522962,,0.198210055,0.179414227,,,,,,
0.419359544,0.162367493,,0.358070304,0.144360582,,0.199624342,0.17985342,,,,,,
0.422826564,0.161765919,,0.363001778,0.144198201,,0.201080308,0.180292613,,,,,,
0.426316546,0.161164346,,0.367962174,0.14403582,,0.202577055,0.180731806,,,,,,
0.42982893,0.160562772,,0.372950336,0.14387344,,0.204113687,0.181170998,,,,,,
0.433363172,0.159961199,,0.377965167,0.143711059,,0.205689308,0.181610191,,,,,,
0.436918741,0.159359625,,0.383005617,0.143548679,,0.20730303,0.182049384,,,,,,
0.440495122,0.158758052,,0.388070689,0.143386298,,0.208953971,0.182488577,,,,,,
0.44409181,0.158156478,,0.393159432,0.143223918,,0.210641254,0.18292777,,,,,,
0.447708318,0.157554905,,0.398270937,0.143061537,,0.212364015,0.183366963,,,,,,
0.451344167,0.156953331,,0.403404341,0.142899156,,0.214121396,0.183806156,,,,,,
0.454998895,0.156351758,,0.408558816,0.142736776,,0.215912552,0.184245349,,,,,,
0.458672051,0.155750184,,0.413733576,0.142574395,,0.21773665,0.184684542,,,,,,
0.462363194,0.155148611,,0.418927869,0.142412015,,0.219592869,0.185123735,,,,,,
0.466071899,0.154547037,,0.424140978,0.142249634,,0.221480401,0.185562928,,,,,,
0.469797748,0.153945464,,0.429372217,0.142087254,,0.223398453,0.186002121,,,,,,
0.473540338,0.15334389,,0.43462093,0.141924873,,0.225346244,0.186441314,,,,,,
0.477299273,0.152742316,,0.439886494,0.141762493,,0.227323012,0.186880507,,,,,,
0.481074173,0.152140743,,0.44516831,0.141600112,,0.229328005,0.1873197,,,,,,
0.484864662,0.151539169,,0.450465806,0.141437731,,0.231360491,0.187758893,,,,,,
0.488670379,0.150937596,,0.455778435,0.141275351,,0.233419752,0.188198086,,,,,,
0.492490971,0.150336022,,0.461105675,0.14111297,,0.235505085,0.188637279,,,,,,
0.496326094,0.149734449,,0.466447025,0.14095059,,0.237615803,0.189076472,,,,,,
0.500175413,0.149132875,,0.471802005,0.140788209,,0.239751236,0.189515665,,,,,,
0.504038604,0.148531302,,0.477170157,0.140625829,,0.24191073,0.189954858,,,,,,
0.507915351,0.147929728,,0.482551041,0.140463448,,0.244093646,0.190394051,,,,,,
0.511805344,0.147328155,,0.487944236,0.140301067,,0.246299362,0.190833244,,,,,,
0.515708284,0.146726581,,0.493349338,0.140138687,,0.248527269,0.191272437,,,,,,
0.51962388,0.146125008,,0.49876596,0.139976306,,0.250776778,0.19171163,,,,,,
0.523551848,0.145523434,,0.504193731,0.139813926,,0.253047311,0.192150822,,,,,,
0.527491911,0.144921861,,0.509632294,0.139651545,,0.255338308,0.192590015,,,,,,
0.5314438,0.144320287,,0.515081308,0.139489165,,0.257649222,0.193029208,,,,,,
0.535407253,0.143718714,,0.520540445,0.139326784,,0.259979524,0.193468401,,,,,,
0.539382016,0.14311714,,0.526009389,0.139164403,,0.262328696,0.193907594,,,,,,
0.543367839,0.142515567,,0.531487837,0.139002023,,0.264696235,0.194346787,,,,,,
0.547364483,0.141913993,,0.536975499,0.138839642,,0.267081654,0.19478598,,,,,,
0.55137171,0.141312419,,0.542472095,0.138677262,,0.269484477,0.195225173,,,,,,
0.555389293,0.140710846,,0.547977357,0.138514881,,0.271904244,0.195664366,,,,,,
0.559417008,0.140109272,,0.553491025,0.138352501,,0.274340505,0.196103559,,,,,,
0.563454638,0.139507699,,0.559012851,0.13819012,,0.276792825,0.196542752,,,,,,
0.56750197,0.138906125,,0.564542595,0.138027739,,0.279260782,0.196981945,,,,,,
0.5715588,0.138304552,,0.570080028,0.137865359,,0.281743963,0.197421138,,,,,,
0.575624926,0.137702978,,0.575624926,0.137702978,,0.284241971,0.197860331,,,,,,
